"Statistic","Year","Local Government District","Broad Industry Group","Employee Size Band","0 to 99","100 to 499","500 to 999","1000 to 4999","5000+","All"
"Number of Businesses",2016,"Fermanagh and Omagh","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Professional, Scientific & Technical","All",120,110,25,10,NA,265
"Number of Businesses",2016,"Fermanagh and Omagh","Business Administration and Support Services","0",75,10,NA,NA,NA,85
"Number of Businesses",2016,"Fermanagh and Omagh","Business Administration and Support Services","1 to 9",65,65,NA,NA,NA,135
"Number of Businesses",2016,"Fermanagh and Omagh","Business Administration and Support Services","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2016,"Fermanagh and Omagh","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Business Administration and Support Services","All",140,75,5,10,NA,230
"Number of Businesses",2016,"Fermanagh and Omagh","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Education","1 to 9",10,15,NA,NA,NA,25
"Number of Businesses",2016,"Fermanagh and Omagh","Education","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Education","50 to 249",NA,NA,NA,5,NA,5
"Number of Businesses",2016,"Fermanagh and Omagh","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Education","All",15,15,NA,5,NA,40
"Number of Businesses",2016,"Fermanagh and Omagh","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Health","1 to 9",40,105,10,NA,NA,155
"Number of Businesses",2016,"Fermanagh and Omagh","Health","10 to 49",NA,NA,25,10,NA,40
"Number of Businesses",2016,"Fermanagh and Omagh","Health","50 to 249",NA,NA,NA,NA,NA,10
"Number of Businesses",2016,"Fermanagh and Omagh","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Health","All",45,105,35,15,NA,205
"Number of Businesses",2016,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","0",15,10,NA,NA,NA,25
"Number of Businesses",2016,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","1 to 9",175,75,NA,NA,NA,255
"Number of Businesses",2016,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Fermanagh and Omagh","Arts, Entertainment, Recreation and Other Services","All",190,85,NA,NA,NA,285
"Number of Businesses",2016,"Fermanagh and Omagh","All Industries","0",3530,430,10,NA,NA,3970
"Number of Businesses",2016,"Fermanagh and Omagh","All Industries","1 to 9",1150,1710,265,145,10,3285
"Number of Businesses",2016,"Fermanagh and Omagh","All Industries","10 to 49",10,40,115,165,35,360
"Number of Businesses",2016,"Fermanagh and Omagh","All Industries","50 to 249",NA,NA,NA,25,30,60
"Number of Businesses",2016,"Fermanagh and Omagh","All Industries","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2016,"Fermanagh and Omagh","All Industries","All",4690,2185,390,335,85,7685
"Number of Businesses",2016,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","0",390,70,NA,NA,NA,460
"Number of Businesses",2016,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","1 to 9",30,95,35,10,NA,170
"Number of Businesses",2016,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Agriculture, Forestry & Fishing","All",425,165,35,10,NA,635
"Number of Businesses",2016,"Lisburn and Castlereagh","Production","0",25,5,NA,NA,NA,30
"Number of Businesses",2016,"Lisburn and Castlereagh","Production","1 to 9",70,115,30,15,NA,230
"Number of Businesses",2016,"Lisburn and Castlereagh","Production","10 to 49",NA,5,15,45,10,75
"Number of Businesses",2016,"Lisburn and Castlereagh","Production","50 to 249",NA,NA,NA,NA,15,15
"Number of Businesses",2016,"Lisburn and Castlereagh","Production","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Production","All",95,125,40,60,30,350
"Number of Businesses",2016,"Lisburn and Castlereagh","Construction","0",90,50,NA,NA,NA,150
"Number of Businesses",2016,"Lisburn and Castlereagh","Construction","1 to 9",140,195,50,25,NA,410
"Number of Businesses",2016,"Lisburn and Castlereagh","Construction","10 to 49",NA,NA,10,30,10,45
"Number of Businesses",2016,"Lisburn and Castlereagh","Construction","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Construction","All",230,245,65,55,20,615
"Number of Businesses",2016,"Lisburn and Castlereagh","Motor Trades","0",25,20,NA,NA,NA,45
"Number of Businesses",2016,"Lisburn and Castlereagh","Motor Trades","1 to 9",25,80,15,10,NA,130
"Number of Businesses",2016,"Lisburn and Castlereagh","Motor Trades","10 to 49",NA,NA,NA,10,NA,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Motor Trades","All",50,100,20,20,NA,190
"Number of Businesses",2016,"Lisburn and Castlereagh","Wholesale","0",35,15,5,NA,NA,60
"Number of Businesses",2016,"Lisburn and Castlereagh","Wholesale","1 to 9",55,80,35,55,5,235
"Number of Businesses",2016,"Lisburn and Castlereagh","Wholesale","10 to 49",NA,NA,NA,35,35,70
"Number of Businesses",2016,"Lisburn and Castlereagh","Wholesale","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Wholesale","All",95,100,45,90,45,370
"Number of Businesses",2016,"Lisburn and Castlereagh","Retail","0",25,15,NA,NA,NA,45
"Number of Businesses",2016,"Lisburn and Castlereagh","Retail","1 to 9",50,135,35,25,NA,250
"Number of Businesses",2016,"Lisburn and Castlereagh","Retail","10 to 49",NA,NA,10,25,NA,40
"Number of Businesses",2016,"Lisburn and Castlereagh","Retail","50 to 249",NA,NA,NA,NA,10,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Retail","All",80,155,50,55,10,350
"Number of Businesses",2016,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","0",30,5,NA,NA,NA,40
"Number of Businesses",2016,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","1 to 9",10,35,20,NA,NA,70
"Number of Businesses",2016,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","10 to 49",NA,NA,NA,5,NA,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Transport & Storage (inc Postal)","All",45,40,20,10,5,120
"Number of Businesses",2016,"Lisburn and Castlereagh","Accommodation & Food Services","0",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Accommodation & Food Services","1 to 9",45,100,NA,NA,NA,145
"Number of Businesses",2016,"Lisburn and Castlereagh","Accommodation & Food Services","10 to 49",NA,30,15,10,NA,55
"Number of Businesses",2016,"Lisburn and Castlereagh","Accommodation & Food Services","50 to 249",NA,NA,NA,5,NA,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Accommodation & Food Services","All",50,130,15,15,NA,215
"Number of Businesses",2016,"Lisburn and Castlereagh","Information & Communication","0",15,NA,NA,NA,NA,15
"Number of Businesses",2016,"Lisburn and Castlereagh","Information & Communication","1 to 9",75,60,10,NA,NA,140
"Number of Businesses",2016,"Lisburn and Castlereagh","Information & Communication","10 to 49",NA,NA,5,NA,NA,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Information & Communication","All",90,60,15,5,NA,170
"Number of Businesses",2016,"Lisburn and Castlereagh","Finance & Insurance","0",30,NA,NA,NA,NA,30
"Number of Businesses",2016,"Lisburn and Castlereagh","Finance & Insurance","1 to 9",20,30,NA,NA,NA,55
"Number of Businesses",2016,"Lisburn and Castlereagh","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Finance & Insurance","All",50,30,NA,NA,NA,90
"Number of Businesses",2016,"Lisburn and Castlereagh","Property","0",55,5,NA,NA,NA,60
"Number of Businesses",2016,"Lisburn and Castlereagh","Property","1 to 9",55,40,NA,NA,NA,105
"Number of Businesses",2016,"Lisburn and Castlereagh","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Property","All",110,50,5,NA,NA,170
"Number of Businesses",2016,"Lisburn and Castlereagh","Professional, Scientific & Technical","0",40,25,NA,NA,NA,65
"Number of Businesses",2016,"Lisburn and Castlereagh","Professional, Scientific & Technical","1 to 9",145,175,15,5,NA,340
"Number of Businesses",2016,"Lisburn and Castlereagh","Professional, Scientific & Technical","10 to 49",NA,NA,15,5,NA,25
"Number of Businesses",2016,"Lisburn and Castlereagh","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Professional, Scientific & Technical","All",185,200,30,15,NA,435
"Number of Businesses",2016,"Lisburn and Castlereagh","Business Administration and Support Services","0",25,5,NA,NA,NA,35
"Number of Businesses",2016,"Lisburn and Castlereagh","Business Administration and Support Services","1 to 9",40,95,10,5,NA,150
"Number of Businesses",2016,"Lisburn and Castlereagh","Business Administration and Support Services","10 to 49",NA,NA,5,10,NA,25
"Number of Businesses",2016,"Lisburn and Castlereagh","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Business Administration and Support Services","All",70,105,15,20,10,225
"Number of Businesses",2016,"Lisburn and Castlereagh","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Public Administration and Defence","All",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Education","0",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Education","1 to 9",15,20,NA,NA,NA,35
"Number of Businesses",2016,"Lisburn and Castlereagh","Education","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Education","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Lisburn and Castlereagh","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Education","All",15,25,NA,5,NA,50
"Number of Businesses",2016,"Lisburn and Castlereagh","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Health","1 to 9",35,90,5,NA,NA,130
"Number of Businesses",2016,"Lisburn and Castlereagh","Health","10 to 49",5,10,20,15,NA,50
"Number of Businesses",2016,"Lisburn and Castlereagh","Health","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2016,"Lisburn and Castlereagh","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Health","All",45,100,25,25,NA,195
"Number of Businesses",2016,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","0",25,NA,NA,NA,NA,30
"Number of Businesses",2016,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","1 to 9",150,120,NA,NA,NA,275
"Number of Businesses",2016,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,15,NA,10,NA,30
"Number of Businesses",2016,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Lisburn and Castlereagh","Arts, Entertainment, Recreation and Other Services","All",180,140,10,15,NA,340
"Number of Businesses",2016,"Lisburn and Castlereagh","All Industries","0",825,230,15,10,NA,1080
"Number of Businesses",2016,"Lisburn and Castlereagh","All Industries","1 to 9",970,1460,265,165,15,2875
"Number of Businesses",2016,"Lisburn and Castlereagh","All Industries","10 to 49",15,70,110,210,65,470
"Number of Businesses",2016,"Lisburn and Castlereagh","All Industries","50 to 249",NA,NA,NA,25,50,85
"Number of Businesses",2016,"Lisburn and Castlereagh","All Industries","250+",NA,NA,NA,NA,15,20
"Number of Businesses",2016,"Lisburn and Castlereagh","All Industries","All",1810,1760,395,415,150,4530
"Number of Businesses",2016,"Mid and East Antrim","Agriculture, Forestry & Fishing","0",985,150,NA,NA,NA,1135
"Number of Businesses",2016,"Mid and East Antrim","Agriculture, Forestry & Fishing","1 to 9",35,170,25,5,NA,235
"Number of Businesses",2016,"Mid and East Antrim","Agriculture, Forestry & Fishing","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Mid and East Antrim","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Agriculture, Forestry & Fishing","All",1025,320,25,5,NA,1375
"Number of Businesses",2016,"Mid and East Antrim","Production","0",40,5,NA,NA,NA,45
"Number of Businesses",2016,"Mid and East Antrim","Production","1 to 9",85,115,15,5,NA,225
"Number of Businesses",2016,"Mid and East Antrim","Production","10 to 49",NA,5,10,30,5,55
"Number of Businesses",2016,"Mid and East Antrim","Production","50 to 249",NA,NA,NA,NA,15,20
"Number of Businesses",2016,"Mid and East Antrim","Production","250+",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Mid and East Antrim","Production","All",125,125,25,40,30,345
"Number of Businesses",2016,"Mid and East Antrim","Construction","0",105,50,NA,NA,NA,155
"Number of Businesses",2016,"Mid and East Antrim","Construction","1 to 9",145,185,40,15,NA,380
"Number of Businesses",2016,"Mid and East Antrim","Construction","10 to 49",NA,10,5,15,NA,30
"Number of Businesses",2016,"Mid and East Antrim","Construction","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Construction","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Construction","All",250,240,45,30,5,570
"Number of Businesses",2016,"Mid and East Antrim","Motor Trades","0",30,20,5,NA,NA,55
"Number of Businesses",2016,"Mid and East Antrim","Motor Trades","1 to 9",30,60,20,15,NA,130
"Number of Businesses",2016,"Mid and East Antrim","Motor Trades","10 to 49",NA,NA,NA,5,5,15
"Number of Businesses",2016,"Mid and East Antrim","Motor Trades","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Motor Trades","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Motor Trades","All",60,85,25,20,10,200
"Number of Businesses",2016,"Mid and East Antrim","Wholesale","0",30,15,NA,NA,NA,50
"Number of Businesses",2016,"Mid and East Antrim","Wholesale","1 to 9",25,40,25,25,NA,120
"Number of Businesses",2016,"Mid and East Antrim","Wholesale","10 to 49",NA,NA,NA,10,10,20
"Number of Businesses",2016,"Mid and East Antrim","Wholesale","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Mid and East Antrim","Wholesale","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Wholesale","All",60,55,30,30,20,195
"Number of Businesses",2016,"Mid and East Antrim","Retail","0",25,30,NA,NA,NA,55
"Number of Businesses",2016,"Mid and East Antrim","Retail","1 to 9",50,160,50,15,NA,280
"Number of Businesses",2016,"Mid and East Antrim","Retail","10 to 49",NA,5,10,40,NA,60
"Number of Businesses",2016,"Mid and East Antrim","Retail","50 to 249",NA,NA,NA,NA,5,5
"Number of Businesses",2016,"Mid and East Antrim","Retail","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Retail","All",75,195,60,60,10,400
"Number of Businesses",2016,"Mid and East Antrim","Transport & Storage (inc Postal)","0",25,10,NA,NA,NA,35
"Number of Businesses",2016,"Mid and East Antrim","Transport & Storage (inc Postal)","1 to 9",25,40,5,NA,NA,70
"Number of Businesses",2016,"Mid and East Antrim","Transport & Storage (inc Postal)","10 to 49",NA,NA,NA,NA,NA,15
"Number of Businesses",2016,"Mid and East Antrim","Transport & Storage (inc Postal)","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Transport & Storage (inc Postal)","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Transport & Storage (inc Postal)","All",50,50,5,10,5,125
"Number of Businesses",2016,"Mid and East Antrim","Accommodation & Food Services","0",5,5,NA,NA,NA,10
"Number of Businesses",2016,"Mid and East Antrim","Accommodation & Food Services","1 to 9",65,115,NA,NA,NA,180
"Number of Businesses",2016,"Mid and East Antrim","Accommodation & Food Services","10 to 49",NA,35,15,10,NA,60
"Number of Businesses",2016,"Mid and East Antrim","Accommodation & Food Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Accommodation & Food Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Accommodation & Food Services","All",70,155,20,15,NA,255
"Number of Businesses",2016,"Mid and East Antrim","Information & Communication","0",5,NA,NA,NA,NA,10
"Number of Businesses",2016,"Mid and East Antrim","Information & Communication","1 to 9",35,30,NA,NA,NA,70
"Number of Businesses",2016,"Mid and East Antrim","Information & Communication","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Information & Communication","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Information & Communication","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Information & Communication","All",40,35,NA,NA,NA,80
"Number of Businesses",2016,"Mid and East Antrim","Finance & Insurance","0",10,NA,NA,NA,NA,10
"Number of Businesses",2016,"Mid and East Antrim","Finance & Insurance","1 to 9",5,20,5,NA,NA,35
"Number of Businesses",2016,"Mid and East Antrim","Finance & Insurance","10 to 49",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Mid and East Antrim","Finance & Insurance","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Finance & Insurance","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Finance & Insurance","All",15,20,10,5,NA,50
"Number of Businesses",2016,"Mid and East Antrim","Property","0",20,10,NA,NA,NA,30
"Number of Businesses",2016,"Mid and East Antrim","Property","1 to 9",35,40,NA,NA,NA,80
"Number of Businesses",2016,"Mid and East Antrim","Property","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Property","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Property","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Property","All",55,50,NA,NA,NA,110
"Number of Businesses",2016,"Mid and East Antrim","Professional, Scientific & Technical","0",25,5,NA,NA,NA,30
"Number of Businesses",2016,"Mid and East Antrim","Professional, Scientific & Technical","1 to 9",130,105,5,10,NA,255
"Number of Businesses",2016,"Mid and East Antrim","Professional, Scientific & Technical","10 to 49",NA,5,10,NA,NA,20
"Number of Businesses",2016,"Mid and East Antrim","Professional, Scientific & Technical","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Professional, Scientific & Technical","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Professional, Scientific & Technical","All",155,120,15,15,NA,305
"Number of Businesses",2016,"Mid and East Antrim","Business Administration and Support Services","0",25,10,NA,NA,NA,30
"Number of Businesses",2016,"Mid and East Antrim","Business Administration and Support Services","1 to 9",35,55,NA,NA,NA,95
"Number of Businesses",2016,"Mid and East Antrim","Business Administration and Support Services","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Business Administration and Support Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Business Administration and Support Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Business Administration and Support Services","All",60,65,5,NA,NA,135
"Number of Businesses",2016,"Mid and East Antrim","Public Administration and Defence","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Public Administration and Defence","1 to 9",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Public Administration and Defence","10 to 49",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Public Administration and Defence","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Public Administration and Defence","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Public Administration and Defence","All",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Education","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Education","1 to 9",10,10,NA,NA,NA,25
"Number of Businesses",2016,"Mid and East Antrim","Education","10 to 49",NA,NA,NA,NA,NA,10
"Number of Businesses",2016,"Mid and East Antrim","Education","50 to 249",NA,NA,NA,NA,NA,5
"Number of Businesses",2016,"Mid and East Antrim","Education","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Education","All",15,15,NA,10,NA,45
"Number of Businesses",2016,"Mid and East Antrim","Health","0",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Health","1 to 9",15,85,10,NA,NA,110
"Number of Businesses",2016,"Mid and East Antrim","Health","10 to 49",NA,5,15,15,NA,40
"Number of Businesses",2016,"Mid and East Antrim","Health","50 to 249",NA,NA,NA,10,NA,10
"Number of Businesses",2016,"Mid and East Antrim","Health","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Health","All",20,90,25,25,NA,160
"Number of Businesses",2016,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","0",15,NA,NA,NA,NA,20
"Number of Businesses",2016,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","1 to 9",165,100,NA,NA,NA,265
"Number of Businesses",2016,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","10 to 49",NA,15,5,NA,NA,25
"Number of Businesses",2016,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid and East Antrim","Arts, Entertainment, Recreation and Other Services","All",185,115,10,NA,NA,315
"Number of Businesses",2016,"Mid and East Antrim","All Industries","0",1350,310,10,5,NA,1675
"Number of Businesses",2016,"Mid and East Antrim","All Industries","1 to 9",895,1330,220,100,10,2555
"Number of Businesses",2016,"Mid and East Antrim","All Industries","10 to 49",10,90,85,145,30,360
"Number of Businesses",2016,"Mid and East Antrim","All Industries","50 to 249",NA,NA,NA,20,40,60
"Number of Businesses",2016,"Mid and East Antrim","All Industries","250+",NA,NA,NA,NA,10,10
"Number of Businesses",2016,"Mid and East Antrim","All Industries","All",2255,1730,320,270,90,4665
"Number of Businesses",2016,"Mid Ulster","Agriculture, Forestry & Fishing","0",2130,300,NA,NA,NA,2430
"Number of Businesses",2016,"Mid Ulster","Agriculture, Forestry & Fishing","1 to 9",100,380,90,30,NA,605
"Number of Businesses",2016,"Mid Ulster","Agriculture, Forestry & Fishing","10 to 49",NA,NA,10,10,NA,25
"Number of Businesses",2016,"Mid Ulster","Agriculture, Forestry & Fishing","50 to 249",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Agriculture, Forestry & Fishing","250+",NA,NA,NA,NA,NA,NA
"Number of Businesses",2016,"Mid Ulster","Agriculture, Forestry & Fishing","All",2230,685,100,45,NA,3060
"Number of Businesses",2016,"Mid Ulster","Production","0",85,30,NA,NA,NA,110
"Number of Businesses",2016,"Mid Ulster","Production","1 to 9",140,220,60,30,NA,450
