"Statistic","Quarter","NI Major Port","Direction of flow","Other General Cargo","Dry Bulk","Liquid Bulk","Lo-Lo","Ro-Ro Freight","Ro-Ro Non-Freight","All"
"Tonnage","2021Q4","Warrenpoint","Outwards",46.68027,34.81377483,0,0,305.9840661,0,387.478111
"Tonnage","2022Q1","Belfast","Inwards",104.1567969,1064.748699,545.4020499,242.6625908,979.0925724,7.728920348,2943.791629
"Tonnage","2022Q1","Belfast","Outwards",13.85221863,779.1338852,0,209.898586,1053.372249,0.153141844,2056.410081
"Tonnage","2022Q1","Kilroot Power Station Jetty","Inwards",0,123.7914203,0,0,0,0,123.7914203
"Tonnage","2022Q1","Kilroot Power Station Jetty","Outwards",0,6.117467797,0,0,0,0,6.117467797
"Tonnage","2022Q1","Larne","Inwards",0,0,2.03715029,0,482.727,0.61,485.3741503
"Tonnage","2022Q1","Larne","Outwards",2.146,2.715180154,0,0,416.441,0.004,421.3061802
"Tonnage","2022Q1","Londonderry","Inwards",30.56770352,266.6874924,166.6948186,0,0,0,463.9500146
"Tonnage","2022Q1","Londonderry","Outwards",6.400299676,18.08589607,0,0,0,0,24.48619575
"Tonnage","2022Q1","Warrenpoint","Inwards",51.8050058,54.32804048,11.02112459,1.435,264.7104009,1.469,384.7685718
"Tonnage","2022Q1","Warrenpoint","Outwards",44.3543344,50.80034621,0,69.696,331.574237,0,496.4249176
"Tonnage","2022Q2","Belfast","Inwards",73.55033894,937.5722431,402.0859611,250.0425097,1019.549179,7.898962597,2690.699194
"Tonnage","2022Q2","Belfast","Outwards",7.741640883,655.1348708,0,186.9814995,1080.341442,0.165312057,1930.364766
"Tonnage","2022Q2","Kilroot Power Station Jetty","Inwards",0,97.78899233,0,0,0,0,97.78899233
"Tonnage","2022Q2","Kilroot Power Station Jetty","Outwards",0,0,0,0,0,0,0
"Tonnage","2022Q2","Larne","Inwards",0,0,1.430564684,0,434.887,0.948,437.2655647
"Tonnage","2022Q2","Larne","Outwards",0,0,0,0,398.367,0.006,398.373
"Tonnage","2022Q2","Londonderry","Inwards",9.408205138,199.3299015,144.8697331,0,0,0,353.6078397
"Tonnage","2022Q2","Londonderry","Outwards",8.556347227,11.54721057,0,0,0,0,20.1035578
"Tonnage","2022Q2","Warrenpoint","Inwards",69.04500025,16.21242057,15.18580897,0,387.2833628,0,487.7265926
