"Statistic","Year","Northern Ireland"
"Cuttlefish",2022,0.025
"Cuttlefish",2023,0.001
"Dogfish (Scyliorhinidae)",2016,NA
"Dogfish (Scyliorhinidae)",2017,0.428
"Dogfish (Scyliorhinidae)",2018,0.041
"Dogfish (Scyliorhinidae)",2019,NA
"Dogfish (Scyliorhinidae)",2020,NA
"Dogfish (Scyliorhinidae)",2021,0.005
"Dogfish (Scyliorhinidae)",2022,NA
"Dogfish (Scyliorhinidae)",2023,NA
"Eels",2016,0.311
"Eels",2017,2.924
"Eels",2018,1.794
"Eels",2019,1.996
"Eels",2020,0.623
"Eels",2021,2.143
"Eels",2022,0.062
"Eels",2023,0.25
"European Flying Squid",2016,NA
"European Flying Squid",2017,0.017
"European Flying Squid",2018,NA
"European Flying Squid",2019,NA
"European Flying Squid",2020,NA
"European Flying Squid",2021,NA
"European Flying Squid",2022,NA
"European Flying Squid",2023,NA
"Flounder or Flukes",2016,NA
"Flounder or Flukes",2017,0.003
"Flounder or Flukes",2018,NA
"Flounder or Flukes",2019,NA
"Flounder or Flukes",2020,NA
"Flounder or Flukes",2021,NA
"Flounder or Flukes",2022,NA
"Flounder or Flukes",2023,NA
"Greater Forked Beard",2016,NA
"Greater Forked Beard",2017,NA
"Greater Forked Beard",2018,NA
"Greater Forked Beard",2019,NA
"Greater Forked Beard",2020,NA
"Greater Forked Beard",2021,NA
"Greater Forked Beard",2022,0.421
"Greater Forked Beard",2023,NA
"Green Crab",2016,145.219
"Green Crab",2017,144.035
"Green Crab",2018,123.676
"Green Crab",2019,170.626
"Green Crab",2020,122.256
"Green Crab",2021,213.28
"Green Crab",2022,104.799
"Green Crab",2023,106.64
"Gurnard and Latchet",2016,7.012
"Gurnard and Latchet",2017,6.203
"Gurnard and Latchet",2018,8.053
"Gurnard and Latchet",2019,9.392
"Gurnard and Latchet",2020,7.429
"Gurnard and Latchet",2021,4.441
"Gurnard and Latchet",2022,9.078
"Gurnard and Latchet",2023,8.5
"Gurnards - Grey",2016,NA
"Gurnards - Grey",2017,NA
"Gurnards - Grey",2018,0.017
"Gurnards - Grey",2019,NA
"Gurnards - Grey",2020,NA
"Gurnards - Grey",2021,NA
"Gurnards - Grey",2022,NA
"Gurnards - Grey",2023,NA
"Gurnards - Red",2016,1.274
"Gurnards - Red",2017,2.021
"Gurnards - Red",2018,1.449
"Gurnards - Red",2019,1.695
"Gurnards - Red",2020,0.884
"Gurnards - Red",2021,0.799
"Gurnards - Red",2022,0.006
"Gurnards - Red",2023,0.08
"Haddock",2016,839.769
"Haddock",2017,1289.435
"Haddock",2018,1598.815
"Haddock",2019,1298.593
"Haddock",2020,584.871
"Haddock",2021,973.112
"Haddock",2022,690.88
"Haddock",2023,281.19
"Hake",2016,104.256
"Hake",2017,185.844
"Hake",2018,119.449
"Hake",2019,130.695
"Hake",2020,99.607
"Hake",2021,161.265
"Hake",2022,171.026
"Hake",2023,83.51
"Halibut",2016,0.017
"Halibut",2017,0.005
"Halibut",2018,0.024
"Halibut",2019,NA
"Halibut",2020,NA
"Halibut",2021,NA
"Halibut",2022,0.026
"Halibut",2023,0.02
"Herring",2016,5651.477
"Herring",2017,3853.652
"Herring",2018,5729.169
"Herring",2019,4383.836
"Herring",2020,6308.17
"Herring",2021,7766.428
"Herring",2022,8151.469
"Herring",2023,8243.69
"Horse Mackerel",2016,581.45
"Horse Mackerel",2017,60.55
"Horse Mackerel",2018,478.69
"Horse Mackerel",2019,410.777
"Horse Mackerel",2020,188.125
"Horse Mackerel",2021,1883.93
"Horse Mackerel",2022,156.069
"Horse Mackerel",2023,NA
"John Dory",2016,1.297
"John Dory",2017,3.538
"John Dory",2018,5.06
"John Dory",2019,2.267
"John Dory",2020,2.808
"John Dory",2021,3.353
"John Dory",2022,2.6
"John Dory",2023,0.98
"Lemon Sole",2016,1.973
"Lemon Sole",2017,2.17
"Lemon Sole",2018,4.326
"Lemon Sole",2019,5.805
"Lemon Sole",2020,1.392
"Lemon Sole",2021,2.381
"Lemon Sole",2022,1.507
"Lemon Sole",2023,3.4
"Lesser Spotted Dog",2016,234.772
"Lesser Spotted Dog",2017,457.304
"Lesser Spotted Dog",2018,451.281
"Lesser Spotted Dog",2019,403.512
"Lesser Spotted Dog",2020,467.633
"Lesser Spotted Dog",2021,566.298
"Lesser Spotted Dog",2022,499.785
"Lesser Spotted Dog",2023,305.69
"Ling",2016,18.825
"Ling",2017,24.036
"Ling",2018,10.697
"Ling",2019,8.613
"Ling",2020,4.702
"Ling",2021,9.949
"Ling",2022,2.812
"Ling",2023,2.23
"Lobsters",2016,80.472
"Lobsters",2017,68.709
"Lobsters",2018,55.575
"Lobsters",2019,70.717
"Lobsters",2020,53.859
"Lobsters",2021,78.422
"Lobsters",2022,62.923
"Lobsters",2023,87.88
"Lumpfish",2016,NA
"Lumpfish",2017,NA
"Lumpfish",2018,NA
"Lumpfish",2019,NA
"Lumpfish",2020,NA
"Lumpfish",2021,0.02
"Lumpfish",2022,NA
"Lumpfish",2023,NA
"Mackerel",2016,5509.85
"Mackerel",2017,5026.847
"Mackerel",2018,4791.54
"Mackerel",2019,3189.708
"Mackerel",2020,3839.032
"Mackerel",2021,6048.286
"Mackerel",2022,5290.729
"Mackerel",2023,4909.55
"Marbled Electric Ray",2016,NA
"Marbled Electric Ray",2017,NA
"Marbled Electric Ray",2018,0.002
"Marbled Electric Ray",2019,NA
"Marbled Electric Ray",2020,NA
"Marbled Electric Ray",2021,NA
"Marbled Electric Ray",2022,NA
"Marbled Electric Ray",2023,NA
"Megrim",2016,5.555
"Megrim",2017,2.699
"Megrim",2018,4.25
"Megrim",2019,3.331
"Megrim",2020,2.498
"Megrim",2021,20.051
"Megrim",2022,2.229
"Megrim",2023,4.14
"Mixed Squid and Octopi",2016,NA
"Mixed Squid and Octopi",2017,0.005
"Mixed Squid and Octopi",2018,0.007
"Mixed Squid and Octopi",2019,0.726
"Mixed Squid and Octopi",2020,NA
"Mixed Squid and Octopi",2021,NA
"Mixed Squid and Octopi",2022,12.09
"Mixed Squid and Octopi",2023,NA
"Monks or Anglers",2016,304.92
"Monks or Anglers",2017,555.18
"Monks or Anglers",2018,189.834
"Monks or Anglers",2019,788.855
"Monks or Anglers",2020,116.087
"Monks or Anglers",2021,184.457
"Monks or Anglers",2022,90.345
"Monks or Anglers",2023,107.31
"Mullet - Other",2016,NA
"Mullet - Other",2017,NA
"Mullet - Other",2018,0.051
"Mullet - Other",2019,NA
"Mullet - Other",2020,NA
"Mullet - Other",2021,NA
"Mullet - Other",2022,0.191
"Mullet - Other",2023,0.82
"Mussels",2016,276.655
"Mussels",2017,657.753
"Mussels",2018,946.955
"Mussels",2019,33.411
"Mussels",2020,NA
"Mussels",2021,NA
"Mussels",2022,NA
"Mussels",2023,NA
"Nephrops (Norway Lobster)",2016,7446.091
"Nephrops (Norway Lobster)",2017,6257.741
"Nephrops (Norway Lobster)",2018,5092.333
"Nephrops (Norway Lobster)",2019,6513.098
"Nephrops (Norway Lobster)",2020,5503.479
"Nephrops (Norway Lobster)",2021,6740.307
"Nephrops (Norway Lobster)",2022,6266.327
"Nephrops (Norway Lobster)",2023,6195.35
"Octopus",2016,0.785
"Octopus",2017,1.257
"Octopus",2018,0.231
"Octopus",2019,0.037
"Octopus",2020,NA
"Octopus",2021,0.007
"Octopus",2022,0.005
"Octopus",2023,0.15
"Pilchards",2016,NA
"Pilchards",2017,NA
"Pilchards",2018,NA
"Pilchards",2019,NA
"Pilchards",2020,NA
"Pilchards",2021,NA
"Pilchards",2022,NA
"Pilchards",2023,382.02
"Plaice",2016,23.416
"Plaice",2017,19.918
"Plaice",2018,17.532
"Plaice",2019,16.542
