"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2012/13","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",100,1156,1256
"Number of school leavers","2012/13","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",61,959,1020
"Number of school leavers","2012/13","Mid and East Antrim","Total leavers",213,1461,1674
"Number of school leavers","2012/13","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",72,669,741
"Number of school leavers","2012/13","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",115,890,1005
"Number of school leavers","2012/13","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",129,980,1109
"Number of school leavers","2012/13","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",202,1329,1531
"Number of school leavers","2012/13","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",143,1100,1243
"Number of school leavers","2012/13","Mid Ulster","Total leavers",338,1604,1942
"Number of school leavers","2012/13","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",79,824,903
"Number of school leavers","2012/13","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",125,1128,1253
"Number of school leavers","2012/13","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",149,1236,1385
"Number of school leavers","2012/13","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",281,1634,1915
"Number of school leavers","2012/13","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",188,1386,1574
"Number of school leavers","2012/13","Newry, Mourne and Down","Total leavers",466,1944,2410
"Number of school leavers","2012/13","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",19,637,656
"Number of school leavers","2012/13","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",25,873,898
"Number of school leavers","2012/13","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",30,952,982
"Number of school leavers","2012/13","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",66,1281,1347
"Number of school leavers","2012/13","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",43,1092,1135
"Number of school leavers","2012/13","Ards and North Down","Total leavers",164,1608,1772
"Number of school leavers","2012/13","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",672,7608,8280
"Number of school leavers","2012/13","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",1088,10463,11551
"Number of school leavers","2012/13","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",1299,11378,12677
"Number of school leavers","2012/13","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",2500,15564,18064
"Number of school leavers","2012/13","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",1489,12814,14303
"Number of school leavers","2012/13","Northern Ireland","Total leavers",4272,18729,23001
"Number of school leavers","2013/14","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",16,543,559
"Number of school leavers","2013/14","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",32,742,774
"Number of school leavers","2013/14","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",38,804,842
"Number of school leavers","2013/14","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",108,1205,1313
"Number of school leavers","2013/14","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",47,967,1014
"Number of school leavers","2013/14","Antrim and Newtownabbey","Total leavers",206,1476,1682
"Number of school leavers","2013/14","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",68,783,851
"Number of school leavers","2013/14","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",100,1059,1159
"Number of school leavers","2013/14","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",114,1126,1240
"Number of school leavers","2013/14","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",218,1724,1942
"Number of school leavers","2013/14","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",153,1462,1615
"Number of school leavers","2013/14","Armagh City, Banbridge and Craigavon","Total leavers",389,2157,2546
