"Statistic","Academic year","Local Government District","Attainment","Free school meal entitled","Not free school meal entitled","All persons"
"Number of school leavers","2016/17","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",2731,12568,15299
"Number of school leavers","2016/17","Northern Ireland","Total leavers",5752,16231,21983
"Number of school leavers","2017/18","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",59,587,646
"Number of school leavers","2017/18","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",85,757,842
"Number of school leavers","2017/18","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",92,789,881
"Number of school leavers","2017/18","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",194,1105,1299
"Number of school leavers","2017/18","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",128,963,1091
"Number of school leavers","2017/18","Antrim and Newtownabbey","Total leavers",294,1271,1565
"Number of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",98,775,873
"Number of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",160,997,1157
"Number of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",178,1063,1241
"Number of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",419,1605,2024
"Number of school leavers","2017/18","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",288,1414,1702
"Number of school leavers","2017/18","Armagh City, Banbridge and Craigavon","Total leavers",654,1880,2534
"Number of school leavers","2017/18","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",257,1065,1322
"Number of school leavers","2017/18","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",384,1373,1757
"Number of school leavers","2017/18","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",443,1459,1902
"Number of school leavers","2017/18","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",857,1895,2752
"Number of school leavers","2017/18","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",523,1620,2143
"Number of school leavers","2017/18","Belfast","Total leavers",1184,2089,3273
"Number of school leavers","2017/18","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",86,554,640
"Number of school leavers","2017/18","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",114,712,826
"Number of school leavers","2017/18","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",126,736,862
"Number of school leavers","2017/18","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",336,1212,1548
"Number of school leavers","2017/18","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",198,1040,1238
"Number of school leavers","2017/18","Causeway Coast and Glens","Total leavers",422,1332,1754
"Number of school leavers","2017/18","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",177,499,676
"Number of school leavers","2017/18","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",284,717,1001
"Number of school leavers","2017/18","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",318,755,1073
"Number of school leavers","2017/18","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",560,1021,1581
"Number of school leavers","2017/18","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",416,901,1317
"Number of school leavers","2017/18","Derry City and Strabane","Total leavers",731,1150,1881
"Number of school leavers","2017/18","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",117,575,692
"Number of school leavers","2017/18","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",163,723,886
"Number of school leavers","2017/18","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",183,756,939
"Number of school leavers","2017/18","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",311,1049,1360
"Number of school leavers","2017/18","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",232,918,1150
"Number of school leavers","2017/18","Fermanagh and Omagh","Total leavers",411,1147,1558
"Number of school leavers","2017/18","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",50,702,752
"Number of school leavers","2017/18","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",82,894,976
"Number of school leavers","2017/18","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",91,919,1010
"Number of school leavers","2017/18","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",178,1209,1387
"Number of school leavers","2017/18","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",119,1093,1212
"Number of school leavers","2017/18","Lisburn and Castlereagh","Total leavers",236,1318,1554
"Number of school leavers","2017/18","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",46,594,640
"Number of school leavers","2017/18","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",65,718,783
"Number of school leavers","2017/18","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",68,752,820
"Number of school leavers","2017/18","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",150,1037,1187
"Number of school leavers","2017/18","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",105,908,1013
"Number of school leavers","2017/18","Mid and East Antrim","Total leavers",229,1143,1372
"Number of school leavers","2017/18","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",121,642,763
"Number of school leavers","2017/18","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",169,818,987
"Number of school leavers","2017/18","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",194,854,1048
"Number of school leavers","2017/18","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",349,1298,1647
"Number of school leavers","2017/18","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",253,1108,1361
"Number of school leavers","2017/18","Mid Ulster","Total leavers",484,1433,1917
"Number of school leavers","2017/18","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",135,845,980
"Number of school leavers","2017/18","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",186,1062,1248
"Number of school leavers","2017/18","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",206,1113,1319
"Number of school leavers","2017/18","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",378,1539,1917
"Number of school leavers","2017/18","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",259,1353,1612
"Number of school leavers","2017/18","Newry, Mourne and Down","Total leavers",553,1737,2290
"Number of school leavers","2017/18","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",60,666,726
"Number of school leavers","2017/18","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",82,873,955
"Number of school leavers","2017/18","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",96,937,1033
"Number of school leavers","2017/18","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",207,1327,1534
"Number of school leavers","2017/18","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",137,1149,1286
"Number of school leavers","2017/18","Ards and North Down","Total leavers",272,1425,1697
"Number of school leavers","2017/18","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",1211,7564,8775
"Number of school leavers","2017/18","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",1781,9730,11511
"Number of school leavers","2017/18","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",2004,10226,12230
"Number of school leavers","2017/18","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",3956,14418,18374
"Number of school leavers","2017/18","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",2670,12557,15227
"Number of school leavers","2017/18","Northern Ireland","Total leavers",5493,16069,21562
"Number of school leavers","2018/19","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",74,637,711
"Number of school leavers","2018/19","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",107,795,902
"Number of school leavers","2018/19","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",113,816,929
"Number of school leavers","2018/19","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",240,1145,1385
"Number of school leavers","2018/19","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",150,998,1148
"Number of school leavers","2018/19","Antrim and Newtownabbey","Total leavers",345,1281,1626
"Number of school leavers","2018/19","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",98,791,889
"Number of school leavers","2018/19","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",144,976,1120
"Number of school leavers","2018/19","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",163,1019,1182
"Number of school leavers","2018/19","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",437,1641,2078
"Number of school leavers","2018/19","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",300,1421,1721
"Number of school leavers","2018/19","Armagh City, Banbridge and Craigavon","Total leavers",616,1904,2520
"Number of school leavers","2018/19","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",326,1078,1404
"Number of school leavers","2018/19","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",431,1337,1768
"Number of school leavers","2018/19","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",487,1415,1902
"Number of school leavers","2018/19","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",970,1865,2835
"Number of school leavers","2018/19","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",558,1604,2162
"Number of school leavers","2018/19","Belfast","Total leavers",1246,2010,3256
"Number of school leavers","2018/19","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",113,538,651
"Number of school leavers","2018/19","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",134,668,802
"Number of school leavers","2018/19","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",150,708,858
"Number of school leavers","2018/19","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",359,1113,1472
"Number of school leavers","2018/19","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",208,960,1168
"Number of school leavers","2018/19","Causeway Coast and Glens","Total leavers",448,1221,1669
"Number of school leavers","2018/19","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",188,592,780
"Number of school leavers","2018/19","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",273,766,1039
"Number of school leavers","2018/19","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",306,806,1112
"Number of school leavers","2018/19","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",594,1185,1779
"Number of school leavers","2018/19","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",427,1014,1441
"Number of school leavers","2018/19","Derry City and Strabane","Total leavers",754,1301,2055
"Number of school leavers","2018/19","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",101,529,630
"Number of school leavers","2018/19","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",151,650,801
"Number of school leavers","2018/19","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",169,681,850
"Number of school leavers","2018/19","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",292,936,1228
"Number of school leavers","2018/19","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",217,829,1046
"Number of school leavers","2018/19","Fermanagh and Omagh","Total leavers",350,1011,1361
"Number of school leavers","2018/19","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",47,712,759
"Number of school leavers","2018/19","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",71,891,962
"Number of school leavers","2018/19","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",80,925,1005
"Number of school leavers","2018/19","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",185,1246,1431
"Number of school leavers","2018/19","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",122,1122,1244
"Number of school leavers","2018/19","Lisburn and Castlereagh","Total leavers",244,1337,1581
"Number of school leavers","2018/19","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",64,571,635
"Number of school leavers","2018/19","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",88,725,813
"Number of school leavers","2018/19","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",100,756,856
"Number of school leavers","2018/19","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",217,1075,1292
"Number of school leavers","2018/19","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",144,946,1090
"Number of school leavers","2018/19","Mid and East Antrim","Total leavers",342,1243,1585
"Number of school leavers","2018/19","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",104,633,737
"Number of school leavers","2018/19","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",142,814,956
"Number of school leavers","2018/19","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",154,858,1012
"Number of school leavers","2018/19","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",333,1269,1602
"Number of school leavers","2018/19","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",229,1098,1327
"Number of school leavers","2018/19","Mid Ulster","Total leavers",414,1404,1818
"Number of school leavers","2018/19","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",140,783,923
"Number of school leavers","2018/19","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",217,1017,1234
"Number of school leavers","2018/19","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",239,1065,1304
"Number of school leavers","2018/19","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",478,1476,1954
"Number of school leavers","2018/19","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",348,1310,1658
"Number of school leavers","2018/19","Newry, Mourne and Down","Total leavers",649,1658,2307
"Number of school leavers","2018/19","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",55,614,669
"Number of school leavers","2018/19","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",83,771,854
"Number of school leavers","2018/19","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",88,829,917
"Number of school leavers","2018/19","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",261,1215,1476
"Number of school leavers","2018/19","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",151,1036,1187
"Number of school leavers","2018/19","Ards and North Down","Total leavers",347,1323,1670
"Number of school leavers","2018/19","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",1311,7539,8850
"Number of school leavers","2018/19","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",1844,9489,11333
"Number of school leavers","2018/19","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",2055,9964,12019
"Number of school leavers","2018/19","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",4378,14284,18662
"Number of school leavers","2018/19","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",2859,12427,15286
"Number of school leavers","2018/19","Northern Ireland","Total leavers",5776,15825,21601
"Number of school leavers","2019/20","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",95,737,832
"Number of school leavers","2019/20","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",107,796,903
"Number of school leavers","2019/20","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",115,820,935
"Number of school leavers","2019/20","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",267,1173,1440
"Number of school leavers","2019/20","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",170,1026,1196
"Number of school leavers","2019/20","Antrim and Newtownabbey","Total leavers",330,1233,1563
"Number of school leavers","2019/20","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",127,971,1098
"Number of school leavers","2019/20","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",152,1063,1215
"Number of school leavers","2019/20","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",166,1117,1283
"Number of school leavers","2019/20","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",389,1770,2159
"Number of school leavers","2019/20","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",264,1547,1811
"Number of school leavers","2019/20","Armagh City, Banbridge and Craigavon","Total leavers",511,1917,2428
"Number of school leavers","2019/20","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",503,1245,1748
"Number of school leavers","2019/20","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",574,1344,1918
"Number of school leavers","2019/20","Belfast","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",632,1408,2040
"Number of school leavers","2019/20","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",1089,1795,2884
"Number of school leavers","2019/20","Belfast","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",683,1557,2240
"Number of school leavers","2019/20","Belfast","Total leavers",1304,1908,3212
"Number of school leavers","2019/20","Causeway Coast and Glens","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",91,589,680
"Number of school leavers","2019/20","Causeway Coast and Glens","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",101,640,741
"Number of school leavers","2019/20","Causeway Coast and Glens","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",112,661,773
"Number of school leavers","2019/20","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",330,1072,1402
"Number of school leavers","2019/20","Causeway Coast and Glens","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",214,936,1150
"Number of school leavers","2019/20","Causeway Coast and Glens","Total leavers",392,1133,1525
"Number of school leavers","2019/20","Derry City and Strabane","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",229,690,919
"Number of school leavers","2019/20","Derry City and Strabane","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",274,762,1036
"Number of school leavers","2019/20","Derry City and Strabane","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",302,792,1094
"Number of school leavers","2019/20","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",605,1092,1697
"Number of school leavers","2019/20","Derry City and Strabane","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",424,966,1390
"Number of school leavers","2019/20","Derry City and Strabane","Total leavers",695,1147,1842
"Number of school leavers","2019/20","Fermanagh and Omagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",122,662,784
"Number of school leavers","2019/20","Fermanagh and Omagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",144,710,854
"Number of school leavers","2019/20","Fermanagh and Omagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",152,736,888
"Number of school leavers","2019/20","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",301,988,1289
"Number of school leavers","2019/20","Fermanagh and Omagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",226,916,1142
"Number of school leavers","2019/20","Fermanagh and Omagh","Total leavers",345,1026,1371
"Number of school leavers","2019/20","Lisburn and Castlereagh","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",75,814,889
"Number of school leavers","2019/20","Lisburn and Castlereagh","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",88,869,957
"Number of school leavers","2019/20","Lisburn and Castlereagh","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",93,890,983
"Number of school leavers","2019/20","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",206,1170,1376
"Number of school leavers","2019/20","Lisburn and Castlereagh","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",124,1046,1170
"Number of school leavers","2019/20","Lisburn and Castlereagh","Total leavers",240,1215,1455
"Number of school leavers","2019/20","Mid and East Antrim","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",77,706,783
"Number of school leavers","2019/20","Mid and East Antrim","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",90,765,855
"Number of school leavers","2019/20","Mid and East Antrim","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",99,783,882
"Number of school leavers","2019/20","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",204,1074,1278
"Number of school leavers","2019/20","Mid and East Antrim","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",147,945,1092
"Number of school leavers","2019/20","Mid and East Antrim","Total leavers",282,1164,1446
"Number of school leavers","2019/20","Mid Ulster","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",149,833,982
"Number of school leavers","2019/20","Mid Ulster","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",164,887,1051
"Number of school leavers","2019/20","Mid Ulster","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",172,919,1091
"Number of school leavers","2019/20","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",340,1368,1708
"Number of school leavers","2019/20","Mid Ulster","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",250,1198,1448
"Number of school leavers","2019/20","Mid Ulster","Total leavers",397,1430,1827
"Number of school leavers","2019/20","Newry, Mourne and Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",181,969,1150
"Number of school leavers","2019/20","Newry, Mourne and Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",194,1039,1233
"Number of school leavers","2019/20","Newry, Mourne and Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",212,1095,1307
"Number of school leavers","2019/20","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",447,1564,2011
"Number of school leavers","2019/20","Newry, Mourne and Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",335,1408,1743
"Number of school leavers","2019/20","Newry, Mourne and Down","Total leavers",588,1678,2266
"Number of school leavers","2019/20","Ards and North Down","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",88,767,855
"Number of school leavers","2019/20","Ards and North Down","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",101,859,960
"Number of school leavers","2019/20","Ards and North Down","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",114,886,1000
"Number of school leavers","2019/20","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",248,1244,1492
"Number of school leavers","2019/20","Ards and North Down","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",157,1101,1258
"Number of school leavers","2019/20","Ards and North Down","Total leavers",291,1303,1594
"Number of school leavers","2019/20","Northern Ireland","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",1748,9050,10798
"Number of school leavers","2019/20","Northern Ireland","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",2001,9804,11805
"Number of school leavers","2019/20","Northern Ireland","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",2181,10185,12366
"Number of school leavers","2019/20","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",4452,14432,18884
"Number of school leavers","2019/20","Northern Ireland","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",3010,12746,15756
"Number of school leavers","2019/20","Northern Ireland","Total leavers",5408,15281,20689
"Number of school leavers","2020/21","Antrim and Newtownabbey","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",104,804,908
"Number of school leavers","2020/21","Antrim and Newtownabbey","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",124,874,998
"Number of school leavers","2020/21","Antrim and Newtownabbey","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",140,897,1037
"Number of school leavers","2020/21","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",310,1237,1547
"Number of school leavers","2020/21","Antrim and Newtownabbey","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",203,1098,1301
"Number of school leavers","2020/21","Antrim and Newtownabbey","Total leavers",357,1292,1649
"Number of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",132,1013,1145
"Number of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",153,1123,1276
"Number of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 2 A-levels at grades A*-E (incl. equivalent qualifications)",169,1155,1324
"Number of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications)",451,1910,2361
"Number of school leavers","2020/21","Armagh City, Banbridge and Craigavon","At least 5 GCSEs at grades A*-C (incl. equivalent qualifications) including GCSE English and maths",308,1633,1941
"Number of school leavers","2020/21","Armagh City, Banbridge and Craigavon","Total leavers",563,2046,2609
"Number of school leavers","2020/21","Belfast","At least 3 A-levels at grades A*-C (incl. equivalent qualifications)",466,1321,1787
"Number of school leavers","2020/21","Belfast","At least 3 A-levels at grades A*-E (incl. equivalent qualifications)",533,1456,1989
