"Statistic","Year","Broad age band (7 cat)","Sex","United Kingdom Net","Rest of World Net","Total Net"
"Net Migration",2023,"Age 45-54","All persons",435,90,525
"Net Migration",2023,"Age 55-64","Females",89,-71,18
"Net Migration",2023,"Age 55-64","Males",126,-172,-46
"Net Migration",2023,"Age 55-64","All persons",215,-243,-28
"Net Migration",2023,"Age 65+","Females",45,-155,-110
"Net Migration",2023,"Age 65+","Males",86,-171,-85
"Net Migration",2023,"Age 65+","All persons",131,-326,-195
"Net Migration",2023,"All","Females",-108,3543,3435
"Net Migration",2023,"All","Males",69,4019,4088
"Net Migration",2023,"All","All persons",-39,7562,7523
"Net Migration",2024,"Age 0-17","Females",182,1270,1452
"Net Migration",2024,"Age 0-17","Males",221,1313,1534
"Net Migration",2024,"Age 0-17","All persons",403,2583,2986
"Net Migration",2024,"Age 18-24","Females",-1016,766,-250
"Net Migration",2024,"Age 18-24","Males",-1024,811,-213
"Net Migration",2024,"Age 18-24","All persons",-2040,1577,-463
"Net Migration",2024,"Age 25-34","Females",180,884,1064
"Net Migration",2024,"Age 25-34","Males",176,1401,1577
"Net Migration",2024,"Age 25-34","All persons",356,2285,2641
"Net Migration",2024,"Age 35-44","Females",355,262,617
"Net Migration",2024,"Age 35-44","Males",193,699,892
"Net Migration",2024,"Age 35-44","All persons",548,961,1509
"Net Migration",2024,"Age 45-54","Females",115,-206,-91
"Net Migration",2024,"Age 45-54","Males",170,94,264
"Net Migration",2024,"Age 45-54","All persons",285,-112,173
"Net Migration",2024,"Age 55-64","Females",98,-243,-145
"Net Migration",2024,"Age 55-64","Males",124,-405,-281
"Net Migration",2024,"Age 55-64","All persons",222,-648,-426
"Net Migration",2024,"Age 65+","Females",-4,-273,-277
"Net Migration",2024,"Age 65+","Males",28,-402,-374
"Net Migration",2024,"Age 65+","All persons",24,-675,-651
"Net Migration",2024,"All","Females",-90,2460,2370
"Net Migration",2024,"All","Males",-112,3511,3399
"Net Migration",2024,"All","All persons",-202,5971,5769
