"Statistic","Year","Local Government District","Industry electricity","Industry gas","Large industrial installations","Industry 'other'","Industry total","Commercial electricity","Commercial gas","Commercial 'other'","Commercial total","Public sector electricity","Public sector gas","Public sector 'other'","Public sector total","Domestic electricity","Domestic gas","Domestic 'other'","Domestic total","Road transport (A roads)","Road transport (motorways)","Road transport (minor roads)","Diesel railways","Transport 'other'","Transport total","Net emissions: forest land","Net emissions: cropland","Net emissions: grassland","Net emissions: wetlands","Net emissions: settlements","Net emissions: harvested wood products","Net emissions: indirect N2O","LULUCF net emissions","Agriculture electricity","Agriculture gas","Agriculture 'other'","Agriculture livestock","Agriculture soils","Agriculture total","Landfill","Waste management 'other'","Waste management total","Grand total"
"Carbon dioxide",2018,"Ards and North Down",24.7,11.8,0.1,12.8,49.3,21.4,25.3,3.5,50.2,5.5,8.3,2.5,16.3,60.6,86.7,184,331.3,131.6,0,71.3,2.7,2.5,208,-8.9,152.3,-21.7,13.4,41.9,-0.2,-1.6,175.1,1.7,0.2,17.6,0,7.6,27.1,0,0.3,0.3,857.8
"Carbon dioxide",2018,"Northern Ireland",662.5,227,665.6,479.8,2034.9,338.8,264.5,56.2,659.5,116.2,206,48.5,370.8,659.4,546.9,2382.5,3588.7,1895.8,310.3,1614,28.7,69.3,3918.2,-542.3,783.1,-1106.7,1828.7,599.1,-0.8,19.5,1580.5,16.7,10,238.9,0,77.8,343.3,0,3.7,3.7,12499.6
"Carbon dioxide",2019,"Antrim and Newtownabbey",54.8,6.5,0.7,30.9,92.9,17.1,17.5,2.8,37.3,4.7,28.4,2,35.1,45,58.1,181.2,284.2,127.2,89.5,88.9,3.3,15.8,324.6,-10.9,20.8,-65.5,25,49.7,0,0.6,19.6,0.5,0.4,11.8,0,3.8,16.5,0,0.3,0.3,810.6
"Carbon dioxide",2019,"Armagh City, Banbridge and Craigavon",82.1,66.5,9.8,49,207.4,31.6,19.1,4.4,55.1,8.7,20.1,3.1,32,67.7,25.3,344.3,437.3,246.4,60.2,199.8,3.8,4.7,515,-22.9,86.2,-168,127.4,68,0,2.9,93.5,2.1,1.1,32.3,0,11.8,47.2,0,0.3,0.3,1387.8
"Carbon dioxide",2019,"Belfast",73.9,46.7,3.1,36.9,160.5,98.4,114.6,8,221.1,42.8,83.8,13.9,140.5,101.4,275.6,192.7,569.7,193.1,49.5,71.9,4.9,21.6,341,-1.2,1.4,-6.7,0.3,79.9,0,0,73.5,0,0.6,0.8,0,0.3,1.7,0,0.7,0.7,1508.7
"Carbon dioxide",2019,"Causeway Coast and Glens",30.6,6.7,0.9,23.9,62.1,21.1,18.4,3.5,43,6,12.8,2.5,21.3,48.2,13.9,223.3,285.4,160,0,190.3,5.3,4.4,359.9,-108.4,123.2,-134.4,317.5,48.7,0,0.7,247.3,1.3,0.9,32.5,0,13.3,48,0,0.3,0.3,1067.2
"Carbon dioxide",2019,"Derry City and Strabane",58.2,31.6,104.9,36.3,231,27.7,12.8,2.9,43.4,10.4,23.2,3,36.6,44.7,28.9,224.6,298.1,120.8,0,126.6,0.9,4.6,252.9,-56,40.3,-80.8,293.4,53.6,0,1.2,251.7,0.8,0.1,18.7,0,3.2,22.8,0,0.3,0.3,1136.8
"Carbon dioxide",2019,"Fermanagh and Omagh",49.4,0,73.6,40.7,163.8,20.8,0,2.4,23.2,7.1,0,3,10.1,35.9,0.1,175,210.9,139.8,0,226.5,0,4.1,370.4,-185.6,20,-181.8,576.2,54.6,0,4.3,287.6,1.6,0,36.9,0,8.5,47,0,0.2,0.2,1113.3
"Carbon dioxide",2019,"Lisburn and Castlereagh",33.6,24.5,22.2,45.7,126.1,18.3,38.4,3.2,59.9,7.6,27.9,3.3,38.8,46.1,65.5,166.3,277.9,142.9,72.1,82.9,3.4,2.7,304.1,-7.9,40.2,-60.8,3,46.8,0,0.2,21.5,0.6,2.8,12.7,0,4.4,20.5,0,0.3,0.3,849.1
"Carbon dioxide",2019,"Mid and East Antrim",40.4,9.5,11.9,21.5,83.2,15.2,32.8,2.7,50.6,3.9,18.2,2.1,24.2,45.2,42.2,184.5,271.9,139.6,16,122.2,3.8,3.7,285.3,-29.9,45.5,-83.4,110,44.6,0,0.5,87.3,0.8,0.6,19.2,0,6.6,27.2,0,0.3,0.3,830
"Carbon dioxide",2019,"Mid Ulster",83.1,23.3,357.3,65.6,529.2,21.6,2.3,3.4,27.3,4.2,0.3,2.2,6.7,45.3,0.2,214.7,260.1,170.3,11.3,196.2,0,3.6,381.4,-65.3,53.3,-165.9,300,45.9,0,3,171.1,1.1,0,34.4,0,11.7,47.2,0,0.2,0.2,1423.3
"Carbon dioxide",2019,"Newry, Mourne and Down",43.5,10,0,29.3,82.8,19.7,8.1,3.6,31.4,5.3,5.1,3,13.3,58.2,8.5,274.1,340.8,269.8,0,171.6,1,5.1,447.5,-42.6,193,-142.9,68,49.6,0,-2,122.9,1.4,1.3,39.7,0,15.2,57.5,0,0.3,0.3,1096.6
"Carbon dioxide",2019,"Ards and North Down",20.6,9.1,0,10.9,40.6,20.5,27.5,2.3,50.3,5.3,9.3,2,16.5,54.5,96.3,180.1,330.9,127.3,0,68.1,2.7,2.7,200.8,-7.8,154.6,-20.9,13.4,41.9,0,-3.3,177.8,1.2,0.3,19.4,0,8.4,29.3,0,0.3,0.3,846.6
"Carbon dioxide",2019,"Northern Ireland",570.2,234.2,584.4,390.8,1779.7,312.1,291.3,39.2,642.6,105.9,229.1,40,375.1,592,614.4,2360.7,3567.2,1837.3,298.6,1545,29.1,73,3783,-538.6,778.5,-1111.2,1834,583.2,-0.1,8.1,1553.9,11.3,8.2,258.4,0,87.2,365,0,3.5,3.5,12069.9
"Carbon dioxide",2020,"Antrim and Newtownabbey",50.6,7.1,0.7,32.1,90.5,10.7,17.3,3.8,31.7,3,20.2,2.4,25.6,43.4,53.5,183.4,280.3,104.8,93.8,90.2,2.5,7.2,298.5,-11.6,20.1,-66.6,21.9,51.3,0,1.1,16.2,0.7,0.7,10.5,0,3.6,15.6,0,0.3,0.3,758.7
"Carbon dioxide",2020,"Armagh City, Banbridge and Craigavon",72.8,72.2,9.8,51,205.8,22.1,13.2,6,41.4,6.2,8.2,3.8,18.2,65.5,24.5,352.9,442.9,201,40.7,202.7,2.9,4.8,452.1,-24,84.3,-169.5,129.4,69.5,0,4.5,94.1,3.7,1.2,28.1,0,11.2,44.2,0,0.3,0.3,1298.9
"Carbon dioxide",2020,"Belfast",67.3,42.5,2.9,34.8,147.5,68.6,83.5,10.5,162.6,29.3,79.2,16.1,124.5,96.5,250.9,186.7,534.1,147,41,73.2,3.7,12,276.9,-1.5,1.3,-6.6,0.3,82,0,0.1,75.7,0.1,0.2,0.7,0,0.3,1.3,0,0.7,0.7,1323.2
"Carbon dioxide",2020,"Causeway Coast and Glens",26,8.4,0.9,28.1,63.4,14.3,18.3,4.8,37.4,4,7.2,3,14.2,46.1,13.3,225.7,285.1,135,0,192.9,3.9,4.2,336.1,-113,124.6,-135.1,321.5,50,0,2.2,250.1,2.5,0.4,30.5,0,12.5,45.8,0,0.3,0.3,1032.3
"Carbon dioxide",2020,"Derry City and Strabane",51.7,30.1,99.7,36,217.5,18.7,9,3.9,31.6,7,22.9,3.6,33.4,43,28,230,301,94,0,128.5,0.7,3.3,226.4,-57.9,40.3,-81.4,293.1,55.6,0,1.7,251.3,1.6,0.1,16.5,0,2.9,21.1,0,0.3,0.3,1082.7
"Carbon dioxide",2020,"Fermanagh and Omagh",42,1.2,14.9,45,103.1,14.7,0.1,3.3,18.1,4.9,0,3.6,8.5,34.8,0.9,174.3,210,118.4,0,229.7,0,4.3,352.4,-193.4,19,-182.1,578.8,56.7,0,4.8,283.8,3.5,0,31,0,8.6,43.1,0,0.2,0.2,1019.2
"Carbon dioxide",2020,"Lisburn and Castlereagh",28.6,33.5,22.6,45.8,130.5,12.6,23.6,4.2,40.4,5.3,20.6,4.1,30.1,44.9,61.6,165.2,271.8,118.1,52.3,84.2,2.5,2.7,259.8,-8.3,40.3,-61.5,3,47.9,0,0.8,22.2,0.8,0.9,11.9,0,4.1,17.8,0,0.3,0.3,772.8
