"Statistic","Year","Northern Ireland"
"Value of raw milk sales to Republic of Ireland",2016,132.5
"Value of raw milk sales to Republic of Ireland",2017,234.9
"Value of raw milk sales to Republic of Ireland",2018,240.8
"Value of raw milk sales to Republic of Ireland",2019,211.9
"Value of raw milk sales to Republic of Ireland",2020,201
"Value of raw milk sales to Republic of Ireland",2021,231.7
"Value of raw milk sales to Republic of Ireland",2022,320.3
"Value of raw milk sales to Republic of Ireland",2023,242.2
