"Statistic","Grouped Year","Local Government District","Females","Males"
"Life expectancy at birth","2014-16","Antrim and Newtownabbey",81.93451187,79.06965381
"Life expectancy at birth","2014-16","Armagh City, Banbridge and Craigavon",82.50676261,79.22095736
"Life expectancy at birth","2014-16","Belfast",81.06643606,76.03592426
"Life expectancy at birth","2014-16","Causeway Coast and Glens",83.37539206,79.74859157
"Life expectancy at birth","2014-16","Derry City and Strabane",81.43256328,77.84295895
"Life expectancy at birth","2014-16","Fermanagh and Omagh",82.5275208,78.58471346
"Life expectancy at birth","2014-16","Lisburn and Castlereagh",83.21861356,80.01177941
"Life expectancy at birth","2014-16","Mid and East Antrim",82.76183983,78.75952679
"Life expectancy at birth","2014-16","Mid Ulster",82.67754838,79.35857082
"Life expectancy at birth","2014-16","Newry, Mourne and Down",82.5040701,78.86553062
"Life expectancy at birth","2014-16","Ards and North Down",82.88214159,79.74248673
"Life expectancy at birth","2014-16","NI",82.3212715,78.57052597
"Life expectancy at birth","2015-17","Antrim and Newtownabbey",82.01434978,79.23913677
"Life expectancy at birth","2015-17","Armagh City, Banbridge and Craigavon",82.73730314,79.0234892
"Life expectancy at birth","2015-17","Belfast",80.91497146,75.8453042
"Life expectancy at birth","2015-17","Causeway Coast and Glens",83.18754309,79.53796122
"Life expectancy at birth","2015-17","Derry City and Strabane",81.45161395,77.69202083
"Life expectancy at birth","2015-17","Fermanagh and Omagh",82.53267866,78.66650138
"Life expectancy at birth","2015-17","Lisburn and Castlereagh",83.3960177,79.84786541
"Life expectancy at birth","2015-17","Mid and East Antrim",82.67945797,78.67128128
"Life expectancy at birth","2015-17","Mid Ulster",82.68368358,79.41458674
"Life expectancy at birth","2015-17","Newry, Mourne and Down",82.70685987,78.93201039
"Life expectancy at birth","2015-17","Ards and North Down",82.71134993,79.5918534
"Life expectancy at birth","2015-17","NI",82.32533743,78.4895105
"Life expectancy at birth","2016-18","Antrim and Newtownabbey",82.08523449,79.57705522
"Life expectancy at birth","2016-18","Armagh City, Banbridge and Craigavon",82.95546659,79.1271305
"Life expectancy at birth","2016-18","Belfast",80.95337719,76.27450198
"Life expectancy at birth","2016-18","Causeway Coast and Glens",83.06570304,79.28547256
"Life expectancy at birth","2016-18","Derry City and Strabane",81.34206947,78.01589547
"Life expectancy at birth","2016-18","Fermanagh and Omagh",83.06213145,79.17291973
"Life expectancy at birth","2016-18","Lisburn and Castlereagh",83.26299613,80.22939655
"Life expectancy at birth","2016-18","Mid and East Antrim",82.52832862,78.96620993
"Life expectancy at birth","2016-18","Mid Ulster",82.73984758,79.33775996
"Life expectancy at birth","2016-18","Newry, Mourne and Down",83.20529911,78.96869199
"Life expectancy at birth","2016-18","Ards and North Down",82.64325708,79.842895
"Life expectancy at birth","2016-18","NI",82.40217462,78.72746945
"Life expectancy at birth","2017-19","Antrim and Newtownabbey",82.73088825,79.68386187
"Life expectancy at birth","2017-19","Armagh City, Banbridge and Craigavon",83.21259526,79.5398142
"Life expectancy at birth","2017-19","Belfast",80.8158149,76.07624305
"Life expectancy at birth","2017-19","Causeway Coast and Glens",82.81656144,79.42334434
"Life expectancy at birth","2017-19","Derry City and Strabane",81.49253771,77.75974485
"Life expectancy at birth","2017-19","Fermanagh and Omagh",83.25641526,79.34440849
"Life expectancy at birth","2017-19","Lisburn and Castlereagh",83.53630667,80.21520701
"Life expectancy at birth","2017-19","Mid and East Antrim",82.75343452,79.16815097
"Life expectancy at birth","2017-19","Mid Ulster",83.20611987,79.69630718
"Life expectancy at birth","2017-19","Newry, Mourne and Down",83.39367064,79.31803116
"Life expectancy at birth","2017-19","Ards and North Down",82.96288152,79.73576531
"Life expectancy at birth","2017-19","NI",82.58255023,78.81876205
"Life expectancy at birth","2018-20","Antrim and Newtownabbey",82.6279593,79.01365346
"Life expectancy at birth","2018-20","Armagh City, Banbridge and Craigavon",83.32974588,79.39594863
"Life expectancy at birth","2018-20","Belfast",80.36179322,75.78359385
"Life expectancy at birth","2018-20","Causeway Coast and Glens",82.56275619,79.6226624
"Life expectancy at birth","2018-20","Derry City and Strabane",81.66109069,77.99886968
"Life expectancy at birth","2018-20","Fermanagh and Omagh",83.29996052,79.18013128
"Life expectancy at birth","2018-20","Lisburn and Castlereagh",83.3277527,80.37438708
"Life expectancy at birth","2018-20","Mid and East Antrim",82.37592507,79.08043814
"Life expectancy at birth","2018-20","Mid Ulster",83.18447517,79.68665179
"Life expectancy at birth","2018-20","Newry, Mourne and Down",83.25334236,79.39964739
"Life expectancy at birth","2018-20","Ards and North Down",82.78221425,79.80379195
"Life expectancy at birth","2018-20","NI",82.42504084,78.73321325
"Life expectancy at birth","2019-21","Antrim and Newtownabbey",82.79414967,78.75701439
"Life expectancy at birth","2019-21","Armagh City, Banbridge and Craigavon",83.07775915,79.24613359
"Life expectancy at birth","2019-21","Belfast",80.36729244,75.57607522
"Life expectancy at birth","2019-21","Causeway Coast and Glens",82.39185085,79.39845988
"Life expectancy at birth","2019-21","Derry City and Strabane",81.2272561,77.31647833
"Life expectancy at birth","2019-21","Fermanagh and Omagh",82.70291659,78.95912741
"Life expectancy at birth","2019-21","Lisburn and Castlereagh",83.26603209,80.34952872
"Life expectancy at birth","2019-21","Mid and East Antrim",82.35480696,78.57047598
"Life expectancy at birth","2019-21","Mid Ulster",83.12697738,79.28735451
"Life expectancy at birth","2019-21","Newry, Mourne and Down",82.82627366,78.97876434
"Life expectancy at birth","2019-21","Ards and North Down",82.82725059,79.91489784
"Life expectancy at birth","2019-21","NI",82.28975106,78.47659762
"Life expectancy at birth","2020-22","Antrim and Newtownabbey",82.52213538,78.71996597
"Life expectancy at birth","2020-22","Armagh City, Banbridge and Craigavon",82.82123351,78.76594474
"Life expectancy at birth","2020-22","Belfast",80.37451244,75.8002277
"Life expectancy at birth","2020-22","Causeway Coast and Glens",82.64903302,79.13313933
"Life expectancy at birth","2020-22","Derry City and Strabane",81.51538255,77.51583705
"Life expectancy at birth","2020-22","Fermanagh and Omagh",82.78360073,79.03329495
"Life expectancy at birth","2020-22","Lisburn and Castlereagh",83.07605121,80.43495636
"Life expectancy at birth","2020-22","Mid and East Antrim",82.45968959,78.32988707
"Life expectancy at birth","2020-22","Mid Ulster",83.07095906,78.88386303
"Life expectancy at birth","2020-22","Newry, Mourne and Down",82.57344379,78.90039856
"Life expectancy at birth","2020-22","Ards and North Down",82.87186519,80.01126904
"Life expectancy at birth","2020-22","NI",82.25585391,78.42567211
"Life expectancy at birth","2021-23","Antrim and Newtownabbey",82.73763348,79.22332728
"Life expectancy at birth","2021-23","Armagh City, Banbridge and Craigavon",82.97563954,79.15633298
"Life expectancy at birth","2021-23","Belfast",80.55421369,76.53531694
"Life expectancy at birth","2021-23","Causeway Coast and Glens",82.77076684,79.12761739
"Life expectancy at birth","2021-23","Derry City and Strabane",81.26961724,77.4217436
"Life expectancy at birth","2021-23","Fermanagh and Omagh",83.05610078,79.63541932
"Life expectancy at birth","2021-23","Lisburn and Castlereagh",83.33425648,80.8767463
"Life expectancy at birth","2021-23","Mid and East Antrim",82.87621176,78.49133741
"Life expectancy at birth","2021-23","Mid Ulster",83.35939482,79.33911267
"Life expectancy at birth","2021-23","Newry, Mourne and Down",82.94320187,79.04676321
"Life expectancy at birth","2021-23","Ards and North Down",83.41322551,79.90658188
"Life expectancy at birth","2021-23","NI",82.48516367,78.7637448
"Life expectancy at birth","2022-24","Antrim and Newtownabbey",82.5377628,79.26546001
"Life expectancy at birth","2022-24","Armagh City, Banbridge and Craigavon",83.16183689,79.03917464
"Life expectancy at birth","2022-24","Belfast",80.54002974,76.46865183
"Life expectancy at birth","2022-24","Causeway Coast and Glens",83.18229534,79.09707586
"Life expectancy at birth","2022-24","Derry City and Strabane",81.23540342,77.62791556
"Life expectancy at birth","2022-24","Fermanagh and Omagh",83.76338881,79.78439272
"Life expectancy at birth","2022-24","Lisburn and Castlereagh",83.75850838,80.53524501
"Life expectancy at birth","2022-24","Mid and East Antrim",83.06130344,78.81312169
"Life expectancy at birth","2022-24","Mid Ulster",83.41122349,79.46283245
"Life expectancy at birth","2022-24","Newry, Mourne and Down",83.16346455,79.41382228
"Life expectancy at birth","2022-24","Ards and North Down",83.47206984,79.92257066
"Life expectancy at birth","2022-24","NI",82.62912686,78.80349414
